BEGIN_VERTICES
<Acrelândia, -10.0764608, -67.0586512, 0.0>
<Brasiléia, -11.0136887, -68.7453799, 0.0>
<Bujari, -9.8156632, -67.955579, 0.0>
<Capixaba, -10.5721119, -67.67512169999999, 0.0>
<Cruzeirodosul, -7.6279977, -72.6761487, 0.0>
<Epitaciolândia, -11.0307015, -68.743634, 0.0>
<Feijó, -8.1642601, -70.35293109999999, 0.0>
<Mânciolima, -7.6169473, -72.90027549999999, 0.0>
<Manoelurbano, -8.837898299999999, -69.2619624, 0.0>
<Marechalthaumaturgo, -8.939359, -72.80027299999999, 0.0>
<Plácidodecastro, -10.2810291, -67.1376799, 0.0>
<Portoacre, -9.5936386, -67.5411079, 0.0>
<Portowalter, -8.2636073, -72.7543149, 0.0>
<Riobranco, -9.975377, -67.8248977, 0.0>
<Rodriguesalves, -7.739011000000001, -72.6615818, 0.0>
<Santarosadopurus, -9.446895999999999, -70.4908106, 0.0>
<Senamadureira, -9.0638816, -68.6718301, 0.0>
<Senadorguiomard, -10.1500737, -67.7367345, 0.0>
<Tarauacá, -8.160924399999999, -70.7651846, 0.0>
<Xapuri, -10.651986, -68.49741089999999, 0.0>
<Arapiraca, -9.7555596, -36.6639697, 0.0>
<Barradesantoantônio, -9.4051151, -35.5111123, 0.0>
<Barradesãomiguel, -9.8237028, -35.885903, 0.0>
<Bocadamata, -9.643836799999999, -36.2130939, 0.0>
<Branquinha, -9.2412885, -36.0124103, 0.0>
<Cacimbinhas, -9.4016366, -36.9914165, 0.0>
<Cajueiro, -9.3998273, -36.156264, 0.0>
<Canapi, -9.1160769, -37.603662, 0.0>
<Chãpreta, -9.256029100000001, -36.2986622, 0.0>
<Coitédonóia, -9.6325553, -36.5809891, 0.0>
<Colônialeopoldina, -8.9137792, -35.7205655, 0.0>
<Coqueiroseco, -9.637574500000001, -35.799701, 0.0>
<Coruripe, -10.1249995, -36.1761498, 0.0>
<Craíbas, -9.617722, -36.7666657, 0.0>
<Delmirogouveia, -9.385759499999999, -37.9990194, 0.0>
<Doisriachos, -9.385069399999999, -37.0968374, 0.0>
<Estreladealagoas, -9.389697, -36.759136, 0.0>
<Feiragrande, -9.898862099999999, -36.6767651, 0.0>
<Felizdeserto, -10.293923, -36.3031172, 0.0>
<Flexeiras, -9.2771527, -35.7236252, 0.0>
<Giraudoponciano, -9.8844475, -36.8314537, 0.0>
<Ibateguara, -8.978654299999999, -35.9376497, 0.0>
<Igaci, -9.536202099999999, -36.6316797, 0.0>
<Igrejanova, -10.1235052, -36.6618128, 0.0>
<Inhapi, -9.222779599999999, -37.7479373, 0.0>
<Jacarédoshomens, -9.6358721, -37.2079727, 0.0>
<Jacuípe, -8.8399317, -35.4593942, 0.0>
<Japaratinga, -9.089796999999999, -35.2580917, 0.0>
<Jaramataia, -9.6626695, -37.0048929, 0.0>
<Joaquimgomes, -9.1332287, -35.7477041, 0.0>
<Jundiá, -8.9404378, -35.555748, 0.0>
<Junqueiro, -9.9073899, -36.4806764, 0.0>
<Lagoadacanoa, -9.8333371, -36.7415897, 0.0>
<Limoeirodeanadia, -9.7414106, -36.5124275, 0.0>
<Maceió, -9.6498487, -35.7089492, 0.0>
<Majorisidoro, -9.5333053, -36.9874051, 0.0>
<Maragogi, -9.010371899999999, -35.2208277, 0.0>
<Marechaldeodoro, -9.710143, -35.897056, 0.0>
<Maribondo, -9.5773909, -36.3058392, 0.0>
<Matagrande, -9.1186648, -37.7326388, 0.0>
<Matrizdecamaragibe, -9.154797, -35.5246231, 0.0>
<Messias, -9.3942686, -35.8395062, 0.0>
<Minadordonegrão, -9.312782, -36.8698863, 0.0>
<Monteirópolis, -9.603994799999999, -37.2508, 0.0>
<Murici, -9.309531, -35.9420041, 0.0>
<Novolino, -8.942327299999999, -35.6643232, 0.0>
<Olhod`águadasflores, -9.532207999999999, -37.2947534, 0.0>
<Olhod`águadocasado, -9.503997499999999, -37.830415, 0.0>
<Olhod`águagrande, -10.0575967, -36.8104155, 0.0>
<Ourobranco, -9.1622013, -37.3587137, 0.0>
<Palmeiradosíndios, -9.406106, -36.6331433, 0.0>
<Pãodeaçúcar, -9.7493777, -37.4351721, 0.0>
<Pariconha, -9.2567645, -37.9990943, 0.0>
<Paripueira, -9.4635594, -35.5522986, 0.0>
<Passodecamaragibe, -9.242953199999999, -35.4899368, 0.0>
<Paulojacinto, -9.3683429, -36.3675699, 0.0>
<Penedo, -10.2889626, -36.5839256, 0.0>
<Piaçabuçu, -10.3995066, -36.4167194, 0.0>
<Pindoba, -9.475217200000001, -36.2878792, 0.0>
<Poçodastrincheiras, -9.3063354, -37.2854665, 0.0>
<Portocalvo, -9.0523714, -35.3989729, 0.0>
<Portodepedras, -9.1604893, -35.3052331, 0.0>
<Portorealdocolégio, -10.1853206, -36.8378849, 0.0>
<Quebrangulo, -9.3204345, -36.4695688, 0.0>
<Riolargo, -9.4782552, -35.8397592, 0.0>
<Roteiro, -9.8354578, -35.97857279999999, 0.0>
<Santaluziadonorte, -9.604127199999999, -35.8235202, 0.0>
<Santanadoipanema, -9.3704171, -37.2483522, 0.0>
<Santanadomundaú, -9.171836599999999, -36.2179354, 0.0>
<Sãojosédalaje, -9.007920799999999, -36.0554229, 0.0>
<Sãojosédatapera, -9.5581094, -37.3834631, 0.0>
<Sãoluísdoquitunde, -9.3187646, -35.561035, 0.0>
<Sãomigueldoscampos, -9.7825454, -36.1020569, 0.0>
<Sãomigueldosmilagres, -9.2678356, -35.3746835, 0.0>
<Satuba, -9.5715864, -35.825415, 0.0>
<Senadorruipalmeira, -9.4702896, -37.4579447, 0.0>
<Tanqued`arca, -9.5349943, -36.4328486, 0.0>
<Taquarana, -9.6457169, -36.4931743, 0.0>
<Teotôniovilela, -9.9084342, -36.3597871, 0.0>
<Traipu, -9.971165899999999, -37.0036464, 0.0>
<Uniãodospalmares, -9.1596441, -36.022567, 0.0>
<Amapá, 2.0447397, -50.78742219999999, 0.0>
<Calçoene, 2.5044164, -50.9516752, 0.0>
<Cutias, 0.9872236000000001, -50.7996097, 0.0>
<Ferreiragomes, 0.8569135999999999, -51.1799664, 0.0>
<Itaubal, 0.6780812, -50.8074071, 0.0>
<Laranjaldojari, -0.8397650999999999, -52.5189889, 0.0>
<Macapá, 0.0355735, -51.070535, 0.0>
<Oiapoque, 3.8441368, -51.8322292, 0.0>
<Pedrabrancadoamaparí, 0.7770809999999999, -51.9507548, 0.0>
<Portogrande, 0.7099293, -51.4100368, 0.0>
<Pracuúba, 1.7430365, -50.7858963, 0.0>
<Santana, 0.0728284, -51.4421328, 0.0>
<Serradonavio, 0.9010148, -52.0040852, 0.0>
<Tartarugalzinho, 1.5061813, -50.9091816, 0.0>
<Vitóriadojari, -1.1200509, -52.0005222, 0.0>
<Alvarães, -3.2276337, -64.80118159999999, 0.0>
<Amaturá, -3.3749094, -68.2010001, 0.0>
<Apuí, -7.199617099999999, -59.8918255, 0.0>
<Atalaiadonorte, -4.3670123, -70.1907872, 0.0>
<Autazes, -3.5861115, -59.12608539999999, 0.0>
<Barreirinha, -2.799228, -57.0683804, 0.0>
<Benjaminconstant, -4.375990499999999, -70.0301629, 0.0>
<Beruri, -3.8991048, -61.36212949999999, 0.0>
<Boavistadoramos, -2.9744528, -57.58781969999999, 0.0>
<Bocadoacre, -8.7516568, -67.3985275, 0.0>
<Caapiranga, -3.3157379, -61.2210654, 0.0>
<Canutama, -6.5261985, -64.3958081, 0.0>
<Carauari, -4.8817621, -66.9047049, 0.0>
<Careiro, -3.8194444, -60.3612225, 0.0>
<Careirodavárzea, -3.1974418, -59.82560280000001, 0.0>
<Coari, -4.0944897, -63.1446104, 0.0>
<Codajás, -3.8398683, -62.0609867, 0.0>
<Eirunepé, -6.657140099999999, -69.8667141, 0.0>
<Envira, -7.4382645, -70.0286988, 0.0>
<Fonteboa, -2.5237839, -66.09474569999999, 0.0>
<Guajará, -7.538343500000001, -72.5912793, 0.0>
<Ipixuna, -7.0482812, -71.6939881, 0.0>
<Iranduba, -3.25, -60.09999999999999, 0.0>
<Itacoatiara, -3.135021, -58.438544, 0.0>
<Juruá, -3.4847481, -66.07232909999999, 0.0>
<Jutaí, -5.181133, -68.90516699999999, 0.0>
<Lábrea, -7.2645142, -64.795296, 0.0>
<Manacapuru, -3.2897156, -60.6318987, 0.0>
<Manaquiri, -3.441151, -60.4617431, 0.0>
<Manaus, -3.1190275, -60.0217314, 0.0>
