BEGIN_VERTICES
<Abadiadosdourados, -18.4868648, -47.4030649, 0.0>
<Abaeté, -19.157438, -45.4447859, 0.0>
<Abrecampo, -20.3001336, -42.4747054, 0.0>
<Acaiaca, -20.3624577, -43.1436736, 0.0>
<Açucena, -19.0764128, -42.5478901, 0.0>
<Águacomprida, -20.0580418, -48.1073269, 0.0>
<Aguanil, -20.944425, -45.39188420000001, 0.0>
<Águasformosas, -17.0806813, -40.9387356, 0.0>
<Águasvermelhas, -15.7435192, -41.4575095, 0.0>
<Aimorés, -19.4959312, -41.0713439, 0.0>
<Aiuruoca, -21.9753902, -44.6035401, 0.0>
<Alagoa, -22.171467, -44.6417694, 0.0>
<Albertina, -22.2022609, -46.6143541, 0.0>
<Alémparaíba, -21.8833835, -42.6985095, 0.0>
<Alfenas, -21.4261129, -45.9481612, 0.0>
<Alfredovasconcelos, -21.148564, -43.7668725, 0.0>
<Almenara, -16.1796844, -40.6953223, 0.0>
<Alpercata, -18.9903784, -41.9899003, 0.0>
<Alpinópolis, -20.8609004, -46.3865617, 0.0>
<Alterosa, -21.2492346, -46.1391013, 0.0>
<Altocaparaó, -20.4481139, -41.8731777, 0.0>
<Altojequitibá, -20.4267378, -41.9644965, 0.0>
<Altoriodoce, -21.0235026, -43.4116113, 0.0>
<Alvarenga, -19.4178864, -41.7321327, 0.0>
<Alvinópolis, -20.10761, -43.0574762, 0.0>
<Alvoradademinas, -18.733838, -43.3642122, 0.0>
<Amparodoserra, -20.5083433, -42.7984234, 0.0>
<Andradas, -22.0699763, -46.57281560000001, 0.0>
<Andrelândia, -21.7415777, -44.3121113, 0.0>
<Angelândia, -17.7284106, -42.2645165, 0.0>
<Antôniodias, -19.653635, -42.8723393, 0.0>
<Antôniopradodeminas, -21.0196743, -42.1113371, 0.0>
<Araçaí, -19.1959836, -44.24972289999999, 0.0>
<Aracitaba, -21.345109, -43.374032, 0.0>
<Araçuaí, -16.8488172, -42.0633003, 0.0>
<Araguari, -18.6460396, -48.1938367, 0.0>
<Arantina, -21.9106617, -44.2559403, 0.0>
<Araponga, -20.6690965, -42.5182528, 0.0>
<Araporã, -18.4361882, -49.185198, 0.0>
<Arapuá, -19.035451, -46.1539508, 0.0>
<Araújos, -19.9475164, -45.1661304, 0.0>
<Araxá, -19.5906483, -46.9442412, 0.0>
<Arceburgo, -21.3654679, -46.9418639, 0.0>
<Arcos, -20.2877726, -45.5396954, 0.0>
